FirstName,LastName,Gender,MaritalStatus,Ethnicity,Employer,Address,City,State,Zip,Office,Region,Phone1,Phone2,Email,DOB,SSN,HireDate,GrossMonthlyIncome,IncomeFromOtherSources,CreditScore,CoBorrowerFirstName,CoBorrowerLastName,CoDOB,COSSN,CoCurrentEmployer,CoLengthOfEmployment,CoGrossMonthlyIncome,LoanDate,LoanType,LoanAmount,DownPayment,CurrentBalance,MultipleProperties,CurrentPropertyTaxes,CurrentHomeOwnerInsurance,CoCreditScore,Channel,LoanStatus,LoanOfficer,RealtorsName,ReltorCompany,RealtorLocation,RealtorState,LoanID
Minna,Amigon,Female,Married,Caucasian,Dorl  James J Esq,2371 Jerrold Ave,Kulpsville,NC,19443,Atlanta,North Carolina,215-874-1229,215-422-8694,minna_amigon@yahoo.com,9/4/1988,603-55-1229,9/4/2009,7475,5278,605,Jack,Mai,9/22/1986,818-75-8694,Mitsumi Electronics Corp,15,7691.08,9/2/2019,New Home,448500,44850,269100,N,718.38,678.98,789,Email/Fax,Approved,Don King,Caleb Willing,Better Homes and Gardens Real Estate Executive Partners,Atlanta,GA,EF10
Ettie,Hoopengardner,Male,Divorced,Latino,Jackson Millwork Co,39 Franklin Ave,Richland,NC,99352,Atlanta,North Carolina,509-755-5393,509-847-3352,ettie.hoopengardner@hotmail.com,1/14/1983,611-16-5393,1/14/2004,10424,2792,667,Andrew,Coleman,5/15/1998,139-92-3352,Mark Iv Press Ltd,4,14534.58,6/2/2022,New Home,625440,37526,375264,N,1001.8,946.85,606,Email/Fax,Approved,Don King,Brenda Conley,Keller Williams Realty Atlanta Partners,Atlanta,GA,EF11
Twana,Felger,Female,Married,Asian,Opryland Hotel,1 Commerce Way,Portland,NC,97224,Atlanta,North Carolina,503-939-3153,503-909-7167,twana.felger@felger.org,7/24/1989,935-80-3153,7/24/2010,10576,2463,654,Caroline,Santos,7/12/1999,966-81-7167,Spoor Behrins Campbell & Young,2,4713.75,4/6/2021,New Home,634560,38074,380736,N,1016.4,960.65,806,Email/Fax,Approved,Julia Jones,Adina Elfaituri,RE/MAX Town & Country,Atlanta,GA,EF12
Roselle,Estell,Female,Single,Asian,Mcglynn Bliss Pc,8116 Mount Vernon Ave,Bucyrus,TX,44820,Austin,Texas,419-571-5920,419-488-6648,roselle.estell@hotmail.com,9/3/1977,194-11-5920,9/3/1998,7192,4585,686,Ryan,Ha,1/27/1986,690-37-6648,Dentalaw Divsn Hlth Care,16,19525.92,12/15/2017,Home Equity,431520,43152,215760,N,691.18,653.27,608,Email/Fax,Approved,Levart Burt,Ben Caballero,HomesUSA.com,Austin,TX,EF13
Lashawnda,Stuer,Female,Married,Black,Rodriguez  J Christopher Esq,7422 Martin Ave #8,Toledo,TX,43607,Austin,Texas,419-588-8719,419-399-1744,lstuer@cox.net,10/20/1966,724-86-8719,10/20/2020,5646,2371,722,John,Cho,11/3/1998,524-89-1744,Wheaton Plastic Products,3,16282.08,4/29/2022,Reverse,338760,47426,0,N,542.61,512.85,718,Email/Fax,Rejected,Levart Burt,Kelly Kelley,RE/MAX Leading Edge,Austin,TX,EF14
Vallie,Mondella,Female,Single,Asian,Private Properties,74 W College St,Boise,NY,83707,New York,New York,208-862-5339,208-737-8439,vmondella@mondella.com,7/2/1978,369-86-5339,7/2/2021,10469,3209,728,Grayson,Luu,4/30/1990,692-30-8439,Ingalls  Donald R Esq,12,7451.58,9/21/2017,New Home,628140,37688,0,N,1006.12,950.93,596,Email/Fax,Approved,Bruce Mutiso,Michael Liess,Coldwell Banker Custom Realty,New York,NY,EF97
Adrian,Nabours,Male,Single,Caucasian,Courtyard By Marriott,80 Pittsford Victor Rd #9,Cleveland,TX,44103,Austin,Texas,216-230-4892,216-937-5320,adelina_nabours@gmail.com,4/5/1986,892-65-4892,4/5/2007,4359,5372,765,Lincoln,Henderson,6/27/2000,442-94-5320,White Sign Div Ctrl Equip Co,1,4042.5,4/19/2018,New Home,261540,52308,156924,Y,418.92,395.94,625,Email/Fax,Pending,Levart Burt,Angelo Puma,Keller Williams Realty,Austin,TX,EF16
Buddy,Cloney,Male,Married,Latino,Larkfield Photo,944 Gaither Dr,Strongsville,TX,44136,Austin,Texas,440-989-5826,440-327-2093,buddy.cloney@yahoo.com,11/12/1992,949-45-5826,11/12/2013,7408,4645,664,Nora,Le,4/12/1976,177-54-2093,Rossi  Michael M,26,12865.67,3/16/2022,New Home,444480,44448,266688,N,711.94,672.89,782,Email/Fax,Rejected,Levart Burt,D'Ann Fleming,RE/MAX 5 Star Realty,Austin,TX,EF17
Barack,Semidey,Male,Married,Caucasian,Can Tron,369 Latham St #500,Saint Louis,TX,63102,Austin,Texas,314-732-9131,314-697-3652,kasandra_semidey@semidey.com,1/24/1987,430-92-9131,1/24/2008,7635,4054,728,Silas,Huang,1/9/1971,142-75-3652,Bonnet & Daughter,31,9274.92,8/26/2021,New Home,458100,45810,274860,N,733.76,693.51,603,Email/Fax,Rejected,Levart Burt,Danny Charbel,Keller Williams Realty,Austin,TX,EF18
Dave,Devreese,Male,Single,Caucasian,Acme Supply Co,1953 Telegraph Rd,Saint Joseph,TX,64504,Austin,Texas,816-557-9673,816-329-5565,diane@cox.net,8/11/1982,424-07-9673,8/11/2003,7751,3589,798,Leilani,Thao,5/30/1986,469-63-5565,Judah Caster & Wheel Co,15,16546.83,8/18/2022,New Home,465060,37205,279036,N,744.91,704.05,721,Email/Fax,Rejected,Levart Burt,Harrison Preston Polsky,Compass,Austin,TX,EF19
Stephen,Emigh,Male,Married,Caucasian,Sharp  J Daniel Esq,3777 E Richmond St #900,West University Place,TX,44302,Austin,Texas,330-537-5358,330-700-2312,stephen_emigh@hotmail.com,7/1/1999,403-94-5358,7/1/2020,9979,6117,634,Brooklyn,Collins,10/27/1997,156-22-2312,Mark Ii Imports Inc,4,11600.67,3/19/2022,New Home,598740,35924,0,N,959.03,906.43,695,Email/Fax,Pending,Levart Burt,Anastasia Riley,Coldwell Banker Realty,Austin,TX,EF15
Teddy,Pedrozo,Male,Single,Latino,Barkan  Neal J Esq,46314 Route 130,Boston,MA,6610,Boston,Massachusetts,203-892-3863,203-918-3939,teddy_pedrozo@aol.com,1/2/1967,183-29-3863,1/2/2019,6224,5977,602,Willow,Chen,9/3/1991,504-55-3939,Helderman  Seymour Cpa,10,8502.75,10/27/2022,Reverse,373440,52282,112032,Y,598.16,565.35,669,Email/Fax,Rejected,Jossef Goldberg,Kyle Seyboth,CENTURY 21 The Seyboth Team,Boston,MA,EF21
Izetta,Dewar,Male,Single,Asian,Lisatoni  Jean Esq,2 W Scyene Rd #3,Haverhill,MA,21217,Boston,Massachusetts,410-473-1708,410-522-7621,idewar@dewar.com,12/16/1977,255-55-1708,12/16/2019,8332,3921,745,Andrew,Ma,9/24/1996,360-84-7621,Green Goddess,5,5979.58,7/18/2022,New Home,499920,74988,0,N,800.74,756.82,633,Email/Fax,Approved,Jossef Goldberg,Eileen Doherty,Lamacchia Realty,Boston,MA,EF29
Merilyn,Bayless,Female,Married,Caucasian,20 20 Printing Inc,195 13n N,Houston,TX,95054,Dallas,Texas,408-758-5015,408-346-2180,merilyn_bayless@cox.net,2/5/1999,265-29-5015,2/5/2020,8053,5190,653,Charlotte,Chang,5/7/1979,884-40-2180,Sider  Donald C Esq,23,8869,12/9/2022,New Home,483180,38654,0,N,773.93,731.48,691,Email/Fax,Rejected,Jose Lugo,Zintiha G. Loya,Keller Williams Realty,Dallas,TX,EF53
Hermila,Thyberg,Female,Single,Caucasian,Chilton Malting Co,1 Rancho Del Mar Shopping C,Draycut,MA,2903,Boston,Massachusetts,401-893-4882,401-885-7681,hermila_thyberg@hotmail.com,4/15/1980,918-08-4882,4/15/2001,6743,2767,755,Joshua,Yang,11/10/1997,475-07-7681,Colony Paints Sales Ofc & Plnt,4,5162,5/1/2021,Home Equity,404580,48550,202290,N,648.03,612.49,728,Email/Fax,Pending,Jossef Goldberg,Don Mailloux,Coldwell Banker Community Realtors,Boston,MA,EF24
Loreta,Timenez,Female,Single,Latino,Kaminski  Katherine Andritsaki,47857 Coney Island Ave,Clinton,MA,20735,Boston,Massachusetts,301-696-6420,301-392-6698,loreta.timenez@hotmail.com,10/23/1976,210-09-6420,10/23/1997,7647,3930,781,James,Singh,3/12/1987,657-13-6698,Juno Chefs Incorporated,15,15511.5,4/27/2018,Home Equity,458820,36706,229410,N,734.91,694.6,709,Email/Fax,Rejected,Jossef Goldberg,Thomas Dixon,Keller Williams Realty,Boston,MA,EF25
Lenna,Paprocki,Female,Single,Caucasian,Feltz Printing Service,639 Main St,Aldine,MA,99501,Boston,Massachusetts,907-385-4412,907-921-2010,lpaprocki@hotmail.com,3/14/1978,231-66-4412,3/14/1999,8757,3973,610,Joshua,Juarez,5/5/1994,316-33-2010,Beutelschies & Company,8,5363.67,4/12/2017,Home Equity,525420,78813,262710,Y,841.59,795.43,634,Email/Fax,Approved,Jossef Goldberg,Nancy Roth,Gibson Sotheby's International Realty,Boston,MA,EF26
Reita,Leto,Male,Married,Black,Creative Business Systems,55262 N French Rd,Indianapolis,MA,46240,Boston,Massachusetts,317-234-1135,317-787-5514,reita.leto@gmail.com,12/26/1954,847-63-1135,12/26/2021,6260,3999,601,Logan,Mitchell,8/20/1984,320-06-5514,Wells Kravitz Schnitzer,17,4986.08,6/13/2019,Reverse,375600,45072,0,N,601.62,568.62,605,Email/Fax,Rejected,Jossef Goldberg,Mathew Arruda,Berkshire Hathaway HomeServices Robert Paul Properties,Boston,MA,EF27
Barbra,Adkin,Female,Single,Asian,Binswanger,4 Kohler Memorial Dr,Brooklyn,NY,11230,New York,New York,718-201-3751,718-732-9475,badkin@hotmail.com,1/5/1999,740-14-3751,1/5/2020,6570,5234,643,Raelynn,Ma,10/8/1994,817-10-9475,Dorl  James J Esq,7,7906.33,11/28/2017,New Home,394200,47304,0,N,631.41,596.78,669,Email/Fax,Approved,Kim Abercrombie,Pollena Forsman,Houlihan Lawrence,New York,NY,EF92
Jose,Stockham,Male,Married,Black,Tri State Refueler Co,128 Bransten Rd,New York,NY,10011,New York,New York,212-675-8570,212-569-4233,jose@yahoo.com,10/9/1979,226-09-8570,10/9/2020,7654,5281,603,Kayden,Jordan,9/14/1989,426-15-4233,Sublett  Scott Esq,12,8277.92,6/23/2020,New Home,459240,36739,0,N,735.59,695.24,708,Email/Fax,Approved,Sidney Higa,Deborah Rieders,Corcoran,New York,NY,EF95
Lawrence,Reitler,Male,Single,Asian,Q A Service,6 Kains Ave,Haverhill,MA,21215,Boston,Massachusetts,410-520-4832,410-957-6903,laurel_reitler@reitler.com,9/29/1963,843-33-4832,9/29/2016,4925,4021,768,Melody,Chin,10/15/1985,318-47-6903,Publishers Group West,16,12791,7/6/2017,Reverse,295500,44325,177300,Y,473.32,447.35,741,Email/Fax,Approved,Jossef Goldberg,Diane B. Sullivan,Coldwell Banker Realty,Boston,MA,EF30
Regenia,Kannady,Female,Married,Caucasian,Ken Jeter Store Equipment Inc,10759 Main St,Scottsdale,NC,85260,Raleigh,North Carolina,480-726-1280,480-205-5121,regenia.kannady@cox.net,12/25/1998,568-62-1280,12/25/2019,4569,2756,689,Ryan,Lu,7/8/2000,692-28-5121,Carriage House Cllsn Rpr Inc,1,5606.25,12/29/2021,New Home,274140,41121,0,N,439.1,415.02,723,Email/Fax,Approved,Adan Duale,Rebekah Ramey,RE/MAX Elite Realty,Raleigh,NC,EF141
Katina,Polidori,Female,Married,Latino,Cape & Associates Real Estate,5 Little River Tpke,Wilmington,MA,1887,Boston,Massachusetts,978-626-2978,978-679-7429,katina_polidori@aol.com,7/20/1983,479-30-2978,7/20/2004,5475,3134,737,Audrey,Richardson,10/6/1997,129-32-7429,Jackson Shields Yeiser,4,13854.92,8/12/2022,New Home,328500,45990,197100,Y,526.17,497.31,633,Email/Fax,Approved,Jossef Goldberg,Paul Dunton,RE/MAX Triumph Realty,Boston,MA,EF32
Reena,Maisto,Female,Single,Caucasian,Lane Promotions,9648 S Main,Fitchburg,MA,21801,Boston,Massachusetts,410-351-1863,410-951-2667,reena@hotmail.com,11/21/1990,895-29-1863,11/21/2011,6768,6004,686,Jace,Washington,2/9/1981,472-64-2667,Corn Popper,21,9795.42,9/7/2022,New Home,406080,48730,243648,N,650.44,614.76,720,Email/Fax,Approved,Jossef Goldberg,Marilyn Green,RE/MAX Signature Properties,Boston,MA,EF33
Alline,Jeanty,Female,Married,Asian,W W John Holden Inc,55713 Lake City Hwy,South Bend,MA,46601,Boston,Massachusetts,574-656-2800,574-405-1983,ajeanty@gmail.com,7/20/1990,582-12-2800,7/20/2011,7181,3189,633,Eliza,Liang,3/11/1989,310-23-1983,Anker Law Office,13,11167.17,2/7/2022,New Home,430860,43086,258516,N,690.13,652.27,702,Email/Fax,Approved,Jossef Goldberg,Karen Russo,Coldwell Banker Realty,Boston,MA,EF34
Pamella,Schmierer,Female,Married,Latino,K Cs Cstm Mouldings Windows,5161 Dorsett Rd,Homestead,FL,33030,Tampa,Florida,305-420-8970,305-575-8481,pamella.schmierer@schmierer.org,12/19/1979,804-60-8970,12/19/2019,7663,5679,670,Adeline,Thao,9/5/1986,965-11-8481,Remaco Inc,15,15269.92,5/4/2019,New Home,459780,36782,0,N,736.45,696.06,711,Email/Fax,Pending,Felicien Kabuga,Darin G. Crane,Berkshire Hathaway HomeServices Results Realty,Tampa,FL,EF157
Lawrence,Lorens,Male,Single,Caucasian,New England Sec Equip Co Inc,9 Hwy,Andover,MA,2906,Boston,Massachusetts,401-465-6432,401-893-1820,lawrence.lorens@hotmail.com,1/15/1989,396-43-6432,1/15/2010,8176,3364,789,Hazel,Young,8/13/1996,641-05-1820,Leonards Antiques Inc,5,12885.33,5/5/2022,New Home,490560,39245,294336,N,785.75,742.65,724,Email/Fax,Rejected,Jossef Goldberg,Brian Fitzpatrick,Coldwell Banker Realty,Boston,MA,EF36
Donte,Kines,Female,Single,Asian,W Tc Industries Inc,3 Aspen St,Worcester,MA,1602,Boston,Massachusetts,508-429-8576,508-843-1426,dkines@hotmail.com,10/12/1986,269-44-8576,10/12/2007,13503,2203,637,Scarlett,Kumar,1/7/1988,130-73-1426,Stanton  James D Esq,14,3919.33,8/16/2022,New Home,810180,48611,486108,N,1297.7,1226.52,699,Email/Fax,Pending,Jossef Goldberg,Renee Roberts,William Raveis Real Estate  Mortgage & Insurance,Boston,MA,EF37
Fernanda,Jillson,Female,Single,Asian,Shank  Edward L Esq,60480 Old Us Highway 51,Fitchburg,MA,21655,Boston,Massachusetts,410-387-5260,410-724-6472,fjillson@aol.com,10/22/1991,422-84-5260,10/22/2012,14043,4333,783,Hannah,Martinez,9/7/1985,860-40-6472,Parkway Company,16,10635.5,4/14/2021,New Home,842580,50555,505548,N,1349.6,1275.57,689,Email/Fax,Approved,Jossef Goldberg,Lori Seavey,Keller Williams Realty,Boston,MA,EF38
Harrison,Haufler,Male,Married,Asian,John Wagner Associates,759 Eldora St,Fall River,MA,6515,Boston,Massachusetts,203-801-6193,203-801-8497,hhaufler@hotmail.com,10/24/1968,454-94-6193,10/24/2016,14694,2663,652,Jayden,Kang,4/24/1990,243-29-8497,M & M Store Fixtures Co Inc,12,4657.83,5/30/2020,Reverse,881640,52898,528984,N,1412.16,1334.71,791,Email/Fax,Approved,Jossef Goldberg,Kenneth Farrow,RE/MAX Real Estate Center,Boston,MA,EF39
Gareth,Candlish,Male,Single,Caucasian,Alabama Educational Tv Comm,45 2nd Ave #9759,Atlanta,NC,30328,Atlanta,North Carolina,770-732-1194,770-531-2842,sarah.candlish@gmail.com,9/5/1979,293-81-1194,9/5/2019,4167,4812,581,Liam,Jordan,8/8/1999,457-74-2842,Printing Dimensions,2,6104.58,5/26/2022,New Home,250020,50004,0,N,400.47,378.5,684,Email/Fax,Approved,Felix Odhiambo,Sue Anderson,Coldwell Banker Intercoastal Realty,Atlanta,GA,EF5
Zona,Colla,Female,Single,Caucasian,Solove  Robert A Esq,49440 Dearborn St,Norfolk,MA,6854,Boston,Massachusetts,203-461-1949,203-938-2557,zona@hotmail.com,6/19/1978,742-56-1949,6/19/2019,7337,5984,686,Wesley,Doan,4/19/1983,848-09-2557,Hasting  H Duane Esq,19,10207.25,9/16/2020,New Home,440220,44022,0,N,705.12,666.44,667,Email/Fax,Approved,Jossef Goldberg,Erika Steele,RE/MAX Executive Realty,Boston,MA,EF28
Bob,Rhym,Male,Divorced,Caucasian,Smits  Patricia Garity,30 W 80th St #1995,Austin,TX,94070,Dallas,Texas,650-528-5783,650-811-9032,brhym@rhym.com,1/22/1947,518-47-5783,1/22/2018,5681,4385,592,Nova,Lin,10/21/1996,526-86-9032,Wise  Dennis W Md,5,5777.67,9/27/2022,Reverse,340860,47720,102258,Y,545.97,516.02,739,Email/Fax,Pending,Jose Lugo,Tara Roden,Coldwell Banker Apex  Realtors,Dallas,TX,EF42
Meaghan,Garufi,Female,Married,Caucasian,Bolton  Wilbur Esq,69734 E Carrillo St,Mc Minnville,TX,37110,Dallas,Texas,931-313-9635,931-235-7959,meaghan@hotmail.com,12/13/1980,860-70-9635,12/13/2018,5258,4412,629,Emma,Luna,3/25/1987,230-26-7959,Rowley Schlimgen Inc,15,8116.5,1/5/2020,Construction,315480,47322,94644,Y,505.32,477.6,635,Email/Fax,Rejected,James Kramer,Cynthia Tobar,RE/MAX Quail Country,Dallas,TX,EF41
Mari,Lueckenbach,Female,Married,Latino,Westbrooks  Nelson E Jr,1 Century Park E,Austin,TX,92110,Dallas,Texas,858-793-9684,858-228-5683,mari_lueckenbach@yahoo.com,10/18/1980,384-11-9684,10/18/2019,10236,2631,733,Ivy,Desai,4/9/1980,954-56-5683,Bjork  Robert D Jr,22,9974.92,10/1/2021,New Home,614160,36850,0,N,983.73,929.77,729,Email/Fax,Pending,Jose Lugo,Franco Briseno,ERA Sellers & Buyers Real Estate,Dallas,TX,EF54
Willard,Kolmetz,Male,Married,Caucasian,Ingalls  Donald R Esq,618 W Yakima Ave,Irving,TX,75062,Dallas,Texas,972-303-9197,972-896-4882,willard@hotmail.com,3/16/1964,336-47-9197,3/16/2017,12618,2366,768,Andrew,Holmes,12/30/1989,855-75-4882,Newhart Foods Inc,12,20551.58,6/25/2019,Reverse,757080,45425,227124,Y,1212.65,1146.14,801,Email/Fax,Approved,Jose Lugo,Eric Robirds,RE/MAX Abilene,Dallas,TX,EF45
Alaine,Bergesen,Female,Single,Caucasian,Hispanic Magazine,7667 S Hulen St #42,Yonkers,NY,10701,New York,New York,914-300-9193,914-654-1426,alaine_bergesen@cox.net,3/12/1998,637-60-9193,3/12/2019,5220,2328,644,Oliver,Yang,6/10/1998,792-68-1426,Ames Stationers,3,14725.83,8/29/2022,New Home,313200,46980,0,N,501.67,474.15,646,Email/Fax,Pending,Kim Abercrombie,Angela Cugini,Howard Hanna Real Albany,New York,NY,EF91
Juma,Abdallah,Male,Single,Latino,Forging Specialties,1088 Pinehurst St,Chapel Hill,NC,27514,Raleigh,North Carolina,919-225-9345,919-715-3791,johnetta_abdallah@aol.com,7/4/1976,587-55-9345,7/4/2019,6382,4166,758,Autumn,Gonzales,6/6/1991,898-97-3791,Schroer  Gene E Esq,10,6010.5,2/13/2018,New Home,382920,45950,0,N,613.34,579.7,660,Email/Fax,Approved,Adan Duale,Tony Lee,RE/MAX Southland Realty II,Raleigh,NC,EF142
Raul,Upthegrove,Male,Married,Asian,Neeley  Gregory W Esq,4 E Colonial Dr,Austin,TX,91942,Dallas,Texas,619-509-5282,619-666-4765,rupthegrove@yahoo.com,7/20/1977,985-28-5282,7/20/1998,10229,3269,616,Grayson,Turner,6/30/1971,524-16-4765,Seashore Supply Co Waretown,30,5266.33,9/6/2019,Home Equity,613740,36824,306870,Y,983.05,929.13,748,Email/Fax,Pending,James Kramer,Evan Martin,RE/MAX Signature Properties,Dallas,TX,EF48
Caprice,Suell,Female,Married,Asian,Egnor  W Dan Esq,90177 N 55th Ave,Nashville,TX,37211,Dallas,Texas,615-246-1824,615-726-4537,caprice@aol.com,10/27/1979,740-71-1824,10/27/2000,12943,4932,703,Luke,Sanchez,12/27/1994,273-07-4537,Midas Muffler Shops,7,10825.25,5/18/2020,Home Equity,776580,46595,388290,Y,1243.88,1175.66,684,Email/Fax,Rejected,James Kramer,Thao T. Nguyen,Keller Williams Realty,Dallas,TX,EF49
Filiberto,Tawil,Male,Married,Asian,Flash  Elena Salerno Esq,3882 W Congress St #799,Austin,TX,90016,Dallas,Texas,323-765-2528,323-842-8226,ftawil@hotmail.com,3/1/1981,665-27-2528,3/1/2002,13765,4792,632,Benjamin,Ramirez,7/27/1984,939-01-8226,Can Tron,17,5748.92,11/22/2019,Home Equity,825900,49554,412950,Y,1322.88,1250.32,799,Email/Fax,Rejected,James Kramer,Shay Millheiser,Kuper Sotheby's International Realty,Dallas,TX,EF50
Jade,Farrar,Female,Married,Latino,Bonnet & Daughter,6882 Torresdale Ave,Columbia,NC,29201,Raleigh,North Carolina,803-352-5387,803-975-3405,jade.farrar@yahoo.com,9/24/1998,729-70-5387,9/24/2019,16789,3283,697,Jameson,Martin,2/15/1987,607-52-3405,Accurel Systems Intrntl Corp,15,5974.58,5/29/2018,New Home,1007340,251835,0,N,1613.5,1525,781,Email/Fax,Rejected,Carroll Adam,Cathy C. Young,Allen Tate Realtors,Raleigh,NC,EF144
Stevie,Westerbeck,Male,Divorced,Black,Wise  Dennis W Md,26659 N 13th St,Dallas,TX,92626,Dallas,Texas,949-867-4077,949-903-3898,stevie.westerbeck@yahoo.com,3/6/1965,683-40-4077,3/6/2019,7525,4559,691,Logan,Soto,8/18/1997,809-60-3898,Berhanu International Foods,4,18617,7/1/2018,Reverse,451500,45150,0,N,723.19,683.52,689,Email/Fax,Pending,Jose Lugo,Rosamaria McGuire,EXIT Realty of Lubbock,Dallas,TX,EF52
Ashlyn,Pinilla,Female,Divorced,Latino,Art Crafters,703 Beville Rd,Opa Locka,FL,33054,Tampa,Florida,305-670-9628,305-857-5489,apinilla@cox.net,12/18/1975,865-18-9628,12/18/2018,12946,4100,601,Eleanor,Williams,2/9/1984,960-23-5489,Northwest Publishing,18,5371.83,10/23/2020,Construction,776760,46606,233028,Y,1244.17,1175.93,767,Email/Fax,Pending,Felicien Kabuga,Missy Zecher,RE/MAX Professionals,Tampa,FL,EF153
